Rec_ID,GeneID,Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,description,type_of_gene,Other_designations,Class
700,100074204,Red,21-28,21,1,INSM1,-,-,Ensembl:ENSOANG00000038669,1,INSM transcriptional repressor 1,protein-coding,insulinoma-associated protein 1|insulinoma-associated 1,Animal
701,100074206,Yellow,21-28,25,1,AKAP7,-,-,-,2,A-kinase anchoring protein 7,protein-coding,A-kinase anchoring protein 7|A kinase (PRKA) anchor protein 7,Animal
702,100074208,Yellow,21-28,21,0,PREP,-,-,Ensembl:ENSOANG00000004177,19,prolyl endopeptidase,protein-coding,prolyl endopeptidase,Animal
703,100074209,Red,13-20,18,1,TMEM59,-,-,-,18,transmembrane protein 59,protein-coding,transmembrane protein 59,Animal
704,100074210,Red,21-28,26,0,DRG1,-,-,Ensembl:ENSOANG00000014655,2,developmentally regulated GTP binding protein 1,protein-coding,developmentally-regulated GTP-binding protein 1,Animal
705,100074213,Yellow,21-28,25,1,BLNK,-,-,Ensembl:ENSOANG00000005144,3,B cell linker,protein-coding,B-cell linker protein,Animal
706,100074214,Green,21-28,28,1,ATP10B,-,-,Ensembl:ENSOANG00000003611,X1,ATPase phospholipid transporting 10B (putative),protein-coding,"probable phospholipid-transporting ATPase VB|ATPase, class V, type 10B",Animal
707,100074215,Yellow,13-20,16,1,CCDC174,-,-,Ensembl:ENSOANG00000043074,X1,coiled-coil domain containing 174,protein-coding,coiled-coil domain-containing protein 174|uncharacterized protein C3orf19 homolog,Animal
708,100074217,Green,21-28,28,1,PHF3,-,-,Ensembl:ENSOANG00000009452,1,PHD finger protein 3,protein-coding,PHD finger protein 3,Animal
709,100074218,Yellow,21-28,22,1,SPSB4,-,-,Ensembl:ENSOANG00000012051,1,splA/ryanodine receptor domain and SOCS box containing 4,protein-coding,SPRY domain-containing SOCS box protein 4,Animal
710,100074219,Yellow,21-28,28,1,NOL10,-,-,Ensembl:ENSOANG00000014497,1,nucleolar protein 10,protein-coding,nucleolar protein 10,Animal
711,100074222,Yellow,21-28,24,1,TEKT5,-,-,Ensembl:ENSOANG00000007153,2,tektin 5,protein-coding,tektin-5,Animal
712,100074223,Yellow,13-20,13,1,SERAC1,-,-,Ensembl:ENSOANG00000008701,2,serine active site containing 1,protein-coding,protein SERAC1,Animal
713,100074224,Green,21-28,21,1,DBX1,-,-,Ensembl:ENSOANG00000037487,3,developing brain homeobox 1,protein-coding,homeobox protein DBX1,Animal
714,100074225,Yellow,21-28,27,1,SKOR2,-,-,-,3,SKI family transcriptional corepressor 2,protein-coding,SKI family transcriptional corepressor 2,Animal
715,100074226,Green,5-12,12,1,PLEKHG1,-,-,Ensembl:ENSOANG00000003321,2,pleckstrin homology and RhoGEF domain containing G1,protein-coding,"pleckstrin homology domain-containing family G member 1|pleckstrin homology domain containing, family G (with RhoGef domain) member 1",Animal
716,100074227,Yellow,21-28,21,1,BRD3,-,-,Ensembl:ENSOANG00000002847,4,bromodomain containing 3,protein-coding,bromodomain-containing protein 3,Animal
717,100074228,Yellow,13-20,19,1,FBXL5,-,-,Ensembl:ENSOANG00000010867,4,F-box and leucine rich repeat protein 5,protein-coding,F-box/LRR-repeat protein 5,Animal
718,100074229,Yellow,13-20,16,1,SLC16A2,-,-,Ensembl:ENSOANG00000002028,6,solute carrier family 16 member 2,protein-coding,"monocarboxylate transporter 8|solute carrier family 16, member 2 (thyroid hormone transporter)",Animal
719,100074231,Yellow,21-28,22,1,ENDOG,-,-,Ensembl:ENSOANG00000038236,4,endonuclease G,protein-coding,"endonuclease G, mitochondrial",Animal
720,100074233,Yellow,21-28,24,1,GUK1,-,-,Ensembl:ENSOANG00000036937,13,guanylate kinase 1,protein-coding,guanylate kinase,Animal
721,100074235,Red,13-20,17,0,ATP6V1D,-,-,Ensembl:ENSOANG00000045150,1,ATPase H+ transporting V1 subunit D,protein-coding,"V-type proton ATPase subunit D|ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D",Animal
722,100074237,Red,13-20,20,0,SH3BP4,-,-,Ensembl:ENSOANG00000012552,7,SH3 domain binding protein 4,protein-coding,SH3 domain-binding protein 4,Animal
723,100074239,Yellow,13-20,13,1,SLC9C1,-,-,Ensembl:ENSOANG00000013600,17,solute carrier family 9 member C1,protein-coding,"sodium/hydrogen exchanger 10|solute carrier family 9, subfamily C (Na+-transporting carboxylic acid decarboxylase), member 1",Animal
724,100074240,Red,21-28,21,0,FGFR1,-,-,Ensembl:ENSOANG00000003252,5,fibroblast growth factor receptor 1,protein-coding,fibroblast growth factor receptor 1,Animal
725,100074241,Yellow,21-28,24,1,FHIT,-,-,-,X1,fragile histidine triad diadenosine triphosphatase,protein-coding,bis(5'-adenosyl)-triphosphatase,Animal
726,100074242,Green,21-28,25,1,DPP6,-,-,Ensembl:ENSOANG00000006155,13,dipeptidyl peptidase like 6,protein-coding,dipeptidyl aminopeptidase-like protein 6|dipeptidyl-peptidase 6,Animal
727,100074243,Yellow,21-28,26,1,STK33,-,-,Ensembl:ENSOANG00000020955,3,serine/threonine kinase 33,protein-coding,serine/threonine-protein kinase 33,Animal
728,100074244,Yellow,13-20,14,0,LOC100074244,-,AP3S1,-,X5,adaptor related protein complex 3 subunit sigma 1,protein-coding,adaptor related protein complex 3 sigma 1 subunit,Animal
729,100074245,Green,21-28,23,1,NCKIPSD,-,-,Ensembl:ENSOANG00000001846,X1,NCK interacting protein with SH3 domain,protein-coding,NCK-interacting protein with SH3 domain,Animal
730,100074246,Red,21-28,23,1,PHLDB2,-,-,Ensembl:ENSOANG00000009413,17,pleckstrin homology like domain family B member 2,protein-coding,pleckstrin homology-like domain family B member 2,Animal
731,100074248,Red,21-28,23,1,ORNANAV1R-PS4094,-,-,-,-,vomeronasal 1 receptor ornAnaV1R-ps4094 pseudogene,pseudo,-,Animal
732,100074251,Yellow,13-20,18,0,ORNANAV1R3282,-,-,-,-,vomeronasal 1 receptor ornAnaV1R3282,protein-coding,vomeronasal 1 receptor ornAnaV1R3282,Animal
733,100074253,Yellow,21-28,23,1,JPH2,-,-,-,8,junctophilin 2,protein-coding,junctophilin-2,Animal
734,100074254,Yellow,13-20,17,1,TNNC1,-,-,Ensembl:ENSOANG00000001503,X1,"troponin C1, slow skeletal and cardiac type",protein-coding,"troponin C, slow skeletal and cardiac muscles|troponin C type 1 (slow)",Animal
735,100074256,Yellow,21-28,22,1,ALDH7A1,-,-,Ensembl:ENSOANG00000002544,X5,aldehyde dehydrogenase 7 family member A1,protein-coding,alpha-aminoadipic semialdehyde dehydrogenase,Animal
736,100074257,Yellow,21-28,25,0,PATZ1,-,-,Ensembl:ENSOANG00000014654,2,POZ/BTB and AT hook containing zinc finger 1,protein-coding,"POZ-, AT hook-, and zinc finger-containing protein 1",Animal
737,100074258,Yellow,21-28,23,1,EEF1G,-,-,Ensembl:ENSOANG00000012459,3,eukaryotic translation elongation factor 1 gamma,protein-coding,elongation factor 1-gamma,Animal
738,100074259,Yellow,21-28,23,0,GTF2F1,-,-,Ensembl:ENSOANG00000006110,X1,general transcription factor IIF subunit 1,protein-coding,"general transcription factor IIF subunit 1|general transcription factor IIF, polypeptide 1, 74kDa",Animal
739,100074260,Yellow,21-28,26,1,DNTT,-,-,Ensembl:ENSOANG00000005141,3,DNA nucleotidylexotransferase,protein-coding,DNA nucleotidylexotransferase,Animal
740,100074261,Yellow,13-20,16,1,CSMD1,-,-,Ensembl:ENSOANG00000013772,X1,CUB and Sushi multiple domains 1,protein-coding,CUB and sushi domain-containing protein 1,Animal
741,100074263,Yellow,13-20,20,1,PIP5K1B,-,-,Ensembl:ENSOANG00000013264,X5,phosphatidylinositol-4-phosphate 5-kinase type 1 beta,protein-coding,"phosphatidylinositol 4-phosphate 5-kinase type-1 beta|phosphatidylinositol-4-phosphate 5-kinase, type I, beta",Animal
742,100074264,Yellow,21-28,27,1,TEK,-,-,Ensembl:ENSOANG00000013231,X5,TEK receptor tyrosine kinase,protein-coding,"angiopoietin-1 receptor|TEK tyrosine kinase, endothelial",Animal
743,100074265,Red,13-20,13,1,LOC100074265,-,-,-,1,COMM domain-containing protein 2 pseudogene,pseudo,-,Animal
744,100074266,Red,13-20,20,1,GALNT16,-,-,Ensembl:ENSOANG00000012623,1,polypeptide N-acetylgalactosaminyltransferase 16,protein-coding,polypeptide N-acetylgalactosaminyltransferase 16,Animal
745,100074267,Red,21-28,23,1,NUDT12,-,-,Ensembl:ENSOANG00000005459,10,nudix hydrolase 12,protein-coding,peroxisomal NADH pyrophosphatase NUDT12|nudix (nucleoside diphosphate linked moiety X)-type motif 12,Animal
746,100074270,Yellow,13-20,18,1,WDR5,-,-,Ensembl:ENSOANG00000003913,4,WD repeat domain 5,protein-coding,WD repeat-containing protein 5,Animal
747,100074271,Yellow,13-20,16,1,PTPRC,-,-,Ensembl:ENSOANG00000014342,4,protein tyrosine phosphatase receptor type C,protein-coding,receptor-type tyrosine-protein phosphatase C,Animal
748,100074273,Red,21-28,21,1,PIK3CD,-,-,Ensembl:ENSOANG00000008173,5,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",protein-coding,"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Animal
749,100074275,Yellow,21-28,23,1,DYNC1I1,-,-,Ensembl:ENSOANG00000041794,8,dynein cytoplasmic 1 intermediate chain 1,protein-coding,cytoplasmic dynein 1 intermediate chain 1,Animal
750,100074276,Green,13-20,15,0,KRT3,-,-,-,10,keratin 3,protein-coding,"keratin, type II cytoskeletal 3",Animal
751,100074277,Red,13-20,14,0,SZRD1,-,-,Ensembl:ENSOANG00000044685,5,SUZ RNA binding domain containing 1,protein-coding,SUZ domain-containing protein 1|UPF0485 protein C1orf144 homolog,Animal
752,100074280,Red,21-28,23,1,ORNANAV1R-PS3073,-,-,-,-,vomeronasal 1 receptor ornAnaV1R-ps3073 pseudogene,pseudo,-,Animal
753,100074281,Yellow,13-20,14,1,E2F7,-,-,Ensembl:ENSOANG00000007450,14,E2F transcription factor 7,protein-coding,transcription factor E2F7,Animal
754,100074283,Green,5-12,6,1,ORNANAV1R-PS4030,-,-,-,-,vomeronasal 1 receptor ornAnaV1R-ps4030 pseudogene,pseudo,-,Animal
755,100074284,Yellow,21-28,27,1,NSD3,-,WHSC1L1,Ensembl:ENSOANG00000003253,5,nuclear receptor binding SET domain protein 3,protein-coding,LOW QUALITY PROTEIN: histone-lysine N-methyltransferase NSD3|Wolf-Hirschhorn syndrome candidate 1-like 1,Animal
756,100074285,Yellow,21-28,22,1,LOC100074285,-,-,-,2,interferon-induced very large GTPase 1-like,protein-coding,interferon-induced very large GTPase 1-like,Animal
757,100074286,Red,21-28,21,1,KMT2C,-,-,Ensembl:ENSOANG00000006160,13,lysine methyltransferase 2C,protein-coding,histone-lysine N-methyltransferase 2C|lysine (K)-specific methyltransferase 2C,Animal
758,100074287,Yellow,21-28,24,1,TRIM29,-,-,Ensembl:ENSOANG00000047154,11,tripartite motif containing 29,protein-coding,tripartite motif-containing protein 29,Animal
759,100074288,Red,21-28,21,1,IPO11,-,-,Ensembl:ENSOANG00000012524,1,importin 11,protein-coding,importin-11,Animal
760,100074289,Red,13-20,17,0,CELSR3,-,-,Ensembl:ENSOANG00000001847,X1,cadherin EGF LAG seven-pass G-type receptor 3,protein-coding,cadherin EGF LAG seven-pass G-type receptor 3,Animal
761,100074290,Red,13-20,20,1,SS18L1,-,-,Ensembl:ENSOANG00000003368,8,SS18L1 subunit of BAF chromatin remodeling complex,protein-coding,"calcium-responsive transactivator|SS18L1, nBAF chromatin remodeling complex subunit",Animal
762,100074291,Yellow,21-28,25,1,ORNANAV1R-PS4095,-,-,-,Un,vomeronasal 1 receptor ornAnaV1R-ps4095 pseudogene,pseudo,-,Animal
763,100074292,Green,13-20,20,1,ORNANAV1R3283,-,-,-,-,vomeronasal 1 receptor ornAnaV1R3283,protein-coding,vomeronasal 1 receptor ornAnaV1R3283,Animal
764,100074293,Yellow,21-28,23,1,RGMA,-,-,-,5,repulsive guidance molecule BMP co-receptor a,protein-coding,repulsive guidance molecule A|repulsive guidance molecule family member a,Animal
765,100074294,Green,13-20,15,1,RALGAPA2,-,-,Ensembl:ENSOANG00000002499,1,Ral GTPase activating protein catalytic subunit alpha 2,protein-coding,"ral GTPase-activating protein subunit alpha-2|Ral GTPase activating protein catalytic alpha subunit 2|Ral GTPase activating protein, alpha subunit 2 (catalytic)",Animal
766,100074295,Red,21-28,21,1,SEMA3D,-,-,Ensembl:ENSOANG00000013043,13,semaphorin 3D,protein-coding,"semaphorin-3D|sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D",Animal
767,100074297,Green,21-28,27,1,MED23,-,-,Ensembl:ENSOANG00000010194,2,mediator complex subunit 23,protein-coding,mediator of RNA polymerase II transcription subunit 23,Animal
768,100074298,Yellow,5-12,12,0,LOC100074298,-,BVES|POPDC3,Ensembl:ENSOANG00000004179|Ensembl:ENSOANG00000047336,19,popeye domain-containing protein 3,protein-coding,blood vessel epicardial substance|popeye domain-containing protein 3|popeye domain containing 3,Animal
769,100074299,Green,13-20,14,0,RNF185,-,-,-,2,ring finger protein 185,protein-coding,LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase RNF185,Animal
770,100074300,Yellow,21-28,28,1,PPM1H,-,-,Ensembl:ENSOANG00000014788,2,"protein phosphatase, Mg2+/Mn2+ dependent 1H",protein-coding,protein phosphatase 1H,Animal
771,100074302,Yellow,5-12,8,1,HELLS,-,-,Ensembl:ENSOANG00000005139,3,"helicase, lymphoid specific",protein-coding,lymphoid-specific helicase,Animal
772,100074304,Yellow,13-20,18,1,GLIS3,-,-,Ensembl:ENSOANG00000014997,X5,GLIS family zinc finger 3,protein-coding,zinc finger protein GLIS3,Animal
773,100074305,Yellow,21-28,26,0,JAK2,-,-,Ensembl:ENSOANG00000010092,X5,Janus kinase 2,protein-coding,tyrosine-protein kinase JAK2,Animal
774,100074306,Red,21-28,26,1,IFT74,-,-,Ensembl:ENSOANG00000013232,X5,intraflagellar transport 74,protein-coding,intraflagellar transport protein 74 homolog|intraflagellar transport 74 homolog,Animal
775,100074307,Green,5-12,5,1,SLC25A36,-,-,Ensembl:ENSOANG00000050040,1,solute carrier family 25 member 36,protein-coding,"solute carrier family 25 member 36|solute carrier family 25 (pyrimidine nucleotide carrier ), member 36",Animal
776,100074308,Red,21-28,24,1,IPO5,-,-,Ensembl:ENSOANG00000005460,10,importin 5,protein-coding,importin-5,Animal
777,100074309,Red,21-28,26,1,TCTN1,-,-,Ensembl:ENSOANG00000004788,2,tectonic family member 1,protein-coding,tectonic-1,Animal
778,100074310,Red,21-28,25,1,AQP8,-,-,-,2,aquaporin 8,protein-coding,aquaporin-8,Animal
779,100074313,Red,13-20,18,1,IYD,-,-,Ensembl:ENSOANG00000039425,2,iodotyrosine deiodinase,protein-coding,iodotyrosine deiodinase 1,Animal
780,100074315,Green,13-20,20,1,CD38,-,-,-,4,CD38 molecule,protein-coding,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,Animal
781,100074317,Yellow,21-28,28,0,LAMA3,-,-,Ensembl:ENSOANG00000003469,7,laminin subunit alpha 3,protein-coding,"laminin subunit alpha-3|laminin, alpha 3",Animal
782,100074318,Yellow,21-28,27,1,BHLHE23,-,-,-,8,basic helix-loop-helix family member e23,protein-coding,class E basic helix-loop-helix protein 23,Animal
783,100074319,Yellow,21-28,24,0,MRPL55,-,-,Ensembl:ENSOANG00000046224,13,mitochondrial ribosomal protein L55,protein-coding,"39S ribosomal protein L55, mitochondrial",Animal
784,100074320,Yellow,21-28,28,1,ORNANAV1R3117,-,-,Ensembl:ENSOANG00000049501,X3,vomeronasal 1 receptor ornAnaV1R3117,protein-coding,vomeronasal 1 receptor ornAnaV1R3117,Animal
785,100074321,Yellow,21-28,24,1,PKDCC,-,-,Ensembl:ENSOANG00000008590,9,"protein kinase domain containing, cytoplasmic",protein-coding,extracellular tyrosine-protein kinase PKDCC,Animal
786,100074324,Red,21-28,26,1,ORNANAV1R-PS3569,-,-,-,-,vomeronasal 1 receptor ornAnaV1R-ps3569 pseudogene,pseudo,-,Animal
787,100074327,Yellow,5-12,7,1,MED13L,-,-,Ensembl:ENSOANG00000007288,2,mediator complex subunit 13L,protein-coding,mediator of RNA polymerase II transcription subunit 13-like|mediator complex subunit 13 like,Animal
788,100074328,Yellow,21-28,27,1,MYH9,-,-,Ensembl:ENSOANG00000007488,14,myosin heavy chain 9,protein-coding,myosin-9,Animal
789,100074329,Yellow,21-28,23,1,BRD1,-,-,Ensembl:ENSOANG00000003992,14,bromodomain containing 1,protein-coding,bromodomain-containing protein 1,Animal
790,100074330,Green,21-28,28,1,ORNANAV1R-PS4031,-,-,-,-,vomeronasal 1 receptor ornAnaV1R-ps4031 pseudogene,pseudo,-,Animal
791,100074331,Yellow,5-12,12,1,TM2D2,-,-,Ensembl:ENSOANG00000044312,5,TM2 domain containing 2,protein-coding,TM2 domain-containing protein 2,Animal
792,100074332,Green,13-20,18,1,MTG2,-,-,Ensembl:ENSOANG00000046024,8,mitochondrial ribosome associated GTPase 2,protein-coding,mitochondrial ribosome-associated GTPase 2,Animal
793,100074333,Yellow,21-28,25,1,ORNANAV1R-PS4096,-,-,-,Un,vomeronasal 1 receptor ornAnaV1R-ps4096 pseudogene,pseudo,-,Animal
794,100074336,Red,13-20,16,1,ENPP3,-,-,Ensembl:ENSOANG00000039613,2,ectonucleotide pyrophosphatase/phosphodiesterase 3,protein-coding,ectonucleotide pyrophosphatase/phosphodiesterase family member 3,Animal
795,100074337,Red,13-20,18,1,NISCH,-,-,Ensembl:ENSOANG00000001501,X1,nischarin,protein-coding,nischarin,Animal
796,100074338,Yellow,13-20,17,1,PDPR,-,-,Ensembl:ENSOANG00000001154,11,pyruvate dehydrogenase phosphatase regulatory subunit,protein-coding,"pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",Animal
797,100074339,Green,13-20,17,1,HNF1A,-,-,Ensembl:ENSOANG00000014646,2,HNF1 homeobox A,protein-coding,hepatocyte nuclear factor 1-alpha,Animal
798,100074340,Red,5-12,11,1,TUT1,-,-,-,3,"terminal uridylyl transferase 1, U6 snRNA-specific",protein-coding,LOW QUALITY PROTEIN: speckle targeted PIP5K1A-regulated poly(A) polymerase,Animal
799,100074341,Red,13-20,14,0,LOC100074341,-,C3,Ensembl:ENSOANG00000006107,X1,complement C3,protein-coding,complement C3,Animal
800,100074342,Red,5-12,5,0,PDLIM1,-,-,-,3,PDZ and LIM domain 1,protein-coding,PDZ and LIM domain protein 1,Animal
801,100074344,Red,13-20,20,1,DMRT3,-,-,Ensembl:ENSOANG00000008295,X5,doublesex and mab-3 related transcription factor 3,protein-coding,doublesex- and mab-3-related transcription factor 3,Animal
802,100074346,Red,13-20,20,0,EXD2,-,-,Ensembl:ENSOANG00000012621,1,exonuclease 3'-5' domain containing 2,protein-coding,exonuclease 3'-5' domain-containing protein 2,Animal
803,100074347,Yellow,21-28,28,1,MAML1,-,-,-,X2,mastermind like transcriptional coactivator 1,protein-coding,mastermind-like protein 1|mastermind-like 1,Animal
804,100074348,Green,5-12,9,1,HVCN1,-,-,Ensembl:ENSOANG00000004789,2,hydrogen voltage gated channel 1,protein-coding,voltage-gated hydrogen channel 1,Animal
805,100074349,Yellow,13-20,20,1,RNF146,-,-,Ensembl:ENSOANG00000013241,2,ring finger protein 146,protein-coding,E3 ubiquitin-protein ligase RNF146,Animal
806,100074350,Yellow,5-12,10,1,HDHD2,-,-,Ensembl:ENSOANG00000012019,3,haloacid dehalogenase like hydrolase domain containing 2,protein-coding,haloacid dehalogenase-like hydrolase domain-containing protein 2,Animal
807,100074351,Yellow,21-28,21,1,COBL,-,-,-,4,cordon-bleu WH2 repeat protein,protein-coding,protein cordon-bleu,Animal
808,100074353,Yellow,21-28,25,1,CLSTN1,-,-,Ensembl:ENSOANG00000008174,5,calsyntenin 1,protein-coding,calsyntenin-1,Animal
809,100074354,Yellow,21-28,26,1,SLC17A9,-,-,Ensembl:ENSOANG00000004970,8,solute carrier family 17 member 9,protein-coding,"solute carrier family 17 member 9|solute carrier family 17 (vesicular nucleotide transporter), member 9",Animal
810,100074356,Red,21-28,21,1,PALD1,-,-,Ensembl:ENSOANG00000011806,3,phosphatase domain containing paladin 1,protein-coding,paladin,Animal
811,100074357,Red,5-12,7,1,LOC100074357,-,ZSCAN23,Ensembl:ENSOANG00000041023,X3,zinc finger protein 397,protein-coding,zinc finger protein 397|zinc finger and SCAN domain containing 23,Animal
812,100074358,Yellow,5-12,10,1,TRIP6,-,-,Ensembl:ENSOANG00000011843,X5,thyroid hormone receptor interactor 6,protein-coding,thyroid receptor-interacting protein 6,Animal
